cell_type,contrast,symbol,logFC,t,P.Value,adj.P.Val
dc_monocytic_gmp,EZH2 vs rest,ELANE,0.196,5.41,8.61e-8,2.48e-5
dc_monocytic_gmp,EZH2 vs rest,SUPT3H,-0.267,-4.39,1.32e-5,0.0019
dc_monocytic_gmp,EZH2 vs rest,LUZP1,-0.145,-4.04,6.01e-5,0.0049
dc_monocytic_gmp,EZH2 vs rest,CD74,0.0926,4.01,6.8e-5,0.0049
dc_monocytic_gmp,EZH2 vs rest,RUNX1,-0.0691,-3.9,1.05e-4,0.00602
dc_monocytic_gmp,EZH2 vs rest,DTL,-0.0677,-3.8,1.55e-4,0.0074400000000000004
dc_monocytic_gmp,EZH2 vs rest,WDFY2,0.24,3.67,2.61e-4,0.00945
dc_monocytic_gmp,EZH2 vs rest,DPYD,0.349,3.67,2.62e-4,0.00945
dc_monocytic_gmp,EZH2 vs rest,ELMO1,-0.0235,-3.6,3.35e-4,0.0107
dc_monocytic_gmp,EZH2 vs rest,SCFD1,0.0672,3.46,5.78e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,TRPS1,0.0386,3.44,6.13e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,SELL,0.44,3.44,6.22e-4,0.0149
dc_monocytic_gmp,EZH2 vs rest,SYK,0.173,3.31,9.8e-4,0.0208
dc_monocytic_gmp,EZH2 vs rest,UBE2E1,-0.085,-3.3,0.00101,0.0208
dc_monocytic_gmp,EZH2 vs rest,TSC22D3,0.0604,3.28,0.0011,0.0211
dc_monocytic_gmp,EZH2 vs rest,AIF1,0.195,3.24,0.00126,0.0227
dc_monocytic_gmp,EZH2 vs rest,CUX1,-0.037,-3.22,0.00135,0.0229
dc_monocytic_gmp,EZH2 vs rest,PHACTR2,0.346,3.13,0.00182,0.0291
dc_monocytic_gmp,EZH2 vs rest,AOAH,0.208,3.1,0.00202,0.0301
dc_monocytic_gmp,EZH2 vs rest,CD44,0.116,3.09,0.00209,0.0301
dc_monocytic_gmp,EZH2 vs rest,ZBTB20,-0.154,-3.07,0.0022,0.0302
dc_monocytic_gmp,EZH2 vs rest,CELF2,-0.026,-3.03,0.0025,0.0328
dc_monocytic_gmp,EZH2 vs rest,ATAD2,0.0134,2.99,0.00285,0.0357
dc_monocytic_gmp,EZH2 vs rest,PELI2,0.179,2.95,0.00329,0.0395
dc_monocytic_gmp,EZH2 vs rest,ARL6IP1,0.0707,2.92,0.0036,0.0406
dc_monocytic_gmp,EZH2 vs rest,SRSF11,0.112,2.89,0.00397,0.0406
dc_monocytic_gmp,EZH2 vs rest,TXNIP,0.281,2.89,0.00398,0.0406
dc_monocytic_gmp,EZH2 vs rest,SLC25A6,0.0459,2.89,0.00399,0.0406
dc_monocytic_gmp,EZH2 vs rest,ANKRD44,0.0487,2.88,0.0041,0.0406
dc_monocytic_gmp,EZH2 vs rest,BCR,-0.0478,-2.86,0.00437,0.0406
dc_monocytic_gmp,EZH2 vs rest,HNRNPR,0.145,2.86,0.00437,0.0406
dc_monocytic_gmp,EZH2 vs rest,STK3,0.398,2.81,0.00507,0.0456
dc_monocytic_gmp,EZH2 vs rest,PNISR,-0.0168,-2.79,0.00541,0.0462
dc_monocytic_gmp,EZH2 vs rest,RPS10,-0.0285,-2.79,0.00545,0.0462
dc_monocytic_gmp,EZH2 vs rest,SRSF5,0.12,2.77,0.00577,0.0462
dc_monocytic_gmp,EZH2 vs rest,GABARAP,-0.00473,-2.76,0.00589,0.0462
dc_monocytic_gmp,EZH2 vs rest,ARHGDIB,-0.00263,-2.76,0.00593,0.0462
dc_monocytic_gmp,EZH2 vs rest,APLP2,0.19,2.72,0.00664,0.0503
dc_monocytic_gmp,EZH2 vs rest,FBXL17,0.0503,2.69,0.00723,0.0534
dc_monocytic_gmp,EZH2 vs rest,APBB1IP,0.265,2.67,0.00771,0.0555
dc_monocytic_gmp,EZH2 vs rest,HMGB1,-0.0577,-2.66,0.0081,0.0569
dc_monocytic_gmp,EZH2 vs rest,RBL1,0.138,2.61,0.00935,0.0641
dc_monocytic_gmp,EZH2 vs rest,MIF,0.0635,2.55,0.0109,0.0728
dc_monocytic_gmp,EZH2 vs rest,PPP3CA,0.272,2.54,0.0112,0.0731
dc_monocytic_gmp,EZH2 vs rest,MAPK14,0.044,2.53,0.0116,0.0741
dc_monocytic_gmp,EZH2 vs rest,PPP2CA,0.0535,2.51,0.0124,0.0774
dc_monocytic_gmp,EZH2 vs rest,ARID1B,-0.0848,-2.45,0.0144,0.0882
dc_monocytic_gmp,EZH2 vs rest,CST3,0.221,2.43,0.0152,0.0904
dc_monocytic_gmp,EZH2 vs rest,AP3B1,-0.0802,-2.43,0.0154,0.0904
dc_monocytic_gmp,EZH2 vs rest,TEX14,-0.058,-2.41,0.0164,0.0943
dc_monocytic_gmp,EZH2 vs rest,CLEC11A,0.344,2.4,0.0167,0.0946
dc_monocytic_gmp,EZH2 vs rest,PRDX6,0.0858,2.38,0.0177,0.0983
dc_monocytic_gmp,EZH2 vs rest,PTEN,0.137,2.36,0.0185,0.0999
dc_monocytic_gmp,EZH2 vs rest,DEK,0.0132,2.36,0.0188,0.0999
dc_monocytic_gmp,EZH2 vs rest,EZH2,0.149,2.35,0.0192,0.0999
dc_monocytic_gmp,EZH2 vs rest,SRPK2,0.302,2.34,0.0194,0.0999
dc_monocytic_gmp,EZH2 vs rest,MEF2A,0.0426,2.31,0.0214,0.107
dc_monocytic_gmp,EZH2 vs rest,ZC3HAV1,-0.559,-2.3,0.0216,0.107
dc_monocytic_gmp,EZH2 vs rest,ACTR2,0.0751,2.3,0.0218,0.107
dc_monocytic_gmp,EZH2 vs rest,NCOR1,0.0548,2.26,0.024,0.115
dc_monocytic_gmp,EZH2 vs rest,VMP1,0.261,2.24,0.0257,0.122
dc_monocytic_gmp,EZH2 vs rest,TET2,0.136,2.21,0.0276,0.125
dc_monocytic_gmp,EZH2 vs rest,RPLP1,0.0341,2.21,0.0277,0.125
dc_monocytic_gmp,EZH2 vs rest,PICALM,-0.384,-2.2,0.0278,0.125
dc_monocytic_gmp,EZH2 vs rest,ATP8B4,0.0911,2.2,0.0283,0.125
dc_monocytic_gmp,EZH2 vs rest,MYCBP2,0.0843,2.17,0.0305,0.133
dc_monocytic_gmp,EZH2 vs rest,STAU1,0.128,2.16,0.0311,0.134
dc_monocytic_gmp,EZH2 vs rest,SLC39A8,0.219,2.15,0.0317,0.134
dc_monocytic_gmp,EZH2 vs rest,HSPD1,-0.0973,-2.13,0.0336,0.14
dc_monocytic_gmp,EZH2 vs rest,TBC1D5,0.0994,2.12,0.034,0.14
dc_monocytic_gmp,EZH2 vs rest,HNRNPD,0.0431,2.09,0.0369,0.148
dc_monocytic_gmp,EZH2 vs rest,PRKDC,0.0045,2.09,0.037,0.148
dc_monocytic_gmp,EZH2 vs rest,TUBA1B,-0.0461,-2.07,0.0392,0.153
dc_monocytic_gmp,EZH2 vs rest,XPO1,-0.488,-2.06,0.0394,0.153
dc_monocytic_gmp,EZH2 vs rest,PLXDC2,0.1,2.05,0.0409,0.157
dc_monocytic_gmp,EZH2 vs rest,DOCK8,0.217,2.04,0.0414,0.157
dc_monocytic_gmp,EZH2 vs rest,CNBP,-0.0652,-2.02,0.0441,0.165
dc_monocytic_gmp,EZH2 vs rest,STAT1,0.0179,2.01,0.0453,0.167
dc_monocytic_gmp,EZH2 vs rest,GAB2,0.239,1.99,0.0465,0.169
dc_monocytic_gmp,EZH2 vs rest,CDK17,-0.0646,-1.97,0.0495,0.178
dc_monocytic_gmp,EZH2 vs rest,EIF4G3,0.0567,1.94,0.0531,0.188
dc_monocytic_gmp,EZH2 vs rest,EIF1AX,-0.203,-1.93,0.0536,0.188
dc_monocytic_gmp,EZH2 vs rest,ARRDC3,-0.372,-1.88,0.0599,0.208
dc_monocytic_gmp,EZH2 vs rest,PRKCB,0.0872,1.88,0.0608,0.208
dc_monocytic_gmp,EZH2 vs rest,SUMF1,0.169,1.85,0.0647,0.219
dc_monocytic_gmp,EZH2 vs rest,KMT2C,0.0109,1.85,0.0654,0.219
dc_monocytic_gmp,EZH2 vs rest,FNDC3B,0.0528,1.83,0.0669,0.222
dc_monocytic_gmp,EZH2 vs rest,CHST11,-0.0423,-1.82,0.0694,0.226
dc_monocytic_gmp,EZH2 vs rest,PLAC8,0.121,1.82,0.0698,0.226
dc_monocytic_gmp,EZH2 vs rest,EIF3K,0.0424,1.8,0.0723,0.231
dc_monocytic_gmp,EZH2 vs rest,DENND1B,-0.0352,-1.78,0.075,0.237
dc_monocytic_gmp,EZH2 vs rest,DDX5,0.0819,1.77,0.0768,0.24
dc_monocytic_gmp,EZH2 vs rest,FUS,0.0187,1.76,0.0781,0.24
dc_monocytic_gmp,EZH2 vs rest,PNN,-0.0878,-1.76,0.0788,0.24
dc_monocytic_gmp,EZH2 vs rest,ASXL1,0.182,1.76,0.0793,0.24
dc_monocytic_gmp,EZH2 vs rest,TTC3,-0.00735,-1.75,0.0813,0.243
dc_monocytic_gmp,EZH2 vs rest,RELL1,0.191,1.74,0.0819,0.243
dc_monocytic_gmp,EZH2 vs rest,LMNA,-0.0291,-1.74,0.0831,0.244
dc_monocytic_gmp,EZH2 vs rest,FOS,-0.293,-1.73,0.0845,0.246
dc_monocytic_gmp,EZH2 vs rest,PRSS57,0.0354,1.71,0.0881,0.25
dc_monocytic_gmp,EZH2 vs rest,TBL1XR1,-0.0306,-1.71,0.0883,0.25
dc_monocytic_gmp,EZH2 vs rest,LYN,0.0502,1.71,0.0885,0.25
dc_monocytic_gmp,EZH2 vs rest,YBX1,0.0793,1.69,0.0916,0.256
dc_monocytic_gmp,EZH2 vs rest,KCNQ5,-0.00264,-1.68,0.0936,0.259
dc_monocytic_gmp,EZH2 vs rest,SPIDR,0.105,1.67,0.0962,0.264
dc_monocytic_gmp,EZH2 vs rest,YPEL5,0.0326,1.66,0.0983,0.267
dc_monocytic_gmp,EZH2 vs rest,SLTM,0.149,1.65,0.0992,0.267
dc_monocytic_gmp,EZH2 vs rest,ZFAND3,-0.0159,-1.63,0.103,0.275
dc_monocytic_gmp,EZH2 vs rest,RILPL2,0.113,1.62,0.105,0.277
dc_monocytic_gmp,EZH2 vs rest,MAN2A1,0.00911,1.6,0.111,0.288
dc_monocytic_gmp,EZH2 vs rest,ARHGAP15,0.0688,1.6,0.111,0.288
dc_monocytic_gmp,EZH2 vs rest,SNX3,0.0458,1.59,0.113,0.29
dc_monocytic_gmp,EZH2 vs rest,ZNF254,-0.129,-1.55,0.122,0.311
dc_monocytic_gmp,EZH2 vs rest,SIPA1L1,0.0608,1.54,0.123,0.311
dc_monocytic_gmp,EZH2 vs rest,HNRNPH1,0.0241,1.53,0.126,0.311
dc_monocytic_gmp,EZH2 vs rest,ZSWIM6,0.252,1.53,0.127,0.311
dc_monocytic_gmp,EZH2 vs rest,N4BP2L2,0.0277,1.53,0.127,0.311
dc_monocytic_gmp,EZH2 vs rest,S100A4,0.19,1.53,0.127,0.311
dc_monocytic_gmp,EZH2 vs rest,PDS5B,0.0511,1.5,0.134,0.325
dc_monocytic_gmp,EZH2 vs rest,GOLPH3,0.0671,1.5,0.135,0.325
dc_monocytic_gmp,EZH2 vs rest,EIF3A,0.0707,1.47,0.143,0.331
dc_monocytic_gmp,EZH2 vs rest,NEMF,0.0284,1.46,0.144,0.331
dc_monocytic_gmp,EZH2 vs rest,SQSTM1,-0.0268,-1.46,0.144,0.331
dc_monocytic_gmp,EZH2 vs rest,RPL26,-0.0274,-1.46,0.145,0.331
dc_monocytic_gmp,EZH2 vs rest,SYTL3,-0.0199,-1.46,0.146,0.331
dc_monocytic_gmp,EZH2 vs rest,SMYD3,-0.0328,-1.45,0.147,0.331
dc_monocytic_gmp,EZH2 vs rest,RAP1B,0.0196,1.45,0.147,0.331
dc_monocytic_gmp,EZH2 vs rest,DDX3X,0.0385,1.45,0.147,0.331
dc_monocytic_gmp,EZH2 vs rest,MZT2B,0.0448,1.43,0.154,0.344
dc_monocytic_gmp,EZH2 vs rest,NCOA3,0.0399,1.4,0.161,0.355
dc_monocytic_gmp,EZH2 vs rest,STAG1,0.0105,1.4,0.161,0.355
dc_monocytic_gmp,EZH2 vs rest,GRB2,0.0425,1.38,0.168,0.366
dc_monocytic_gmp,EZH2 vs rest,C12orf57,0.0323,1.38,0.169,0.366
dc_monocytic_gmp,EZH2 vs rest,BEX1,0.165,1.37,0.172,0.369
dc_monocytic_gmp,EZH2 vs rest,NFKBIZ,-0.196,-1.36,0.175,0.374
dc_monocytic_gmp,EZH2 vs rest,PPM1B,0.079,1.34,0.18,0.382
dc_monocytic_gmp,EZH2 vs rest,HSPA8,-0.0471,-1.32,0.186,0.391
dc_monocytic_gmp,EZH2 vs rest,CD164,0.028,1.32,0.189,0.393
dc_monocytic_gmp,EZH2 vs rest,RASA2,-0.154,-1.31,0.19,0.393
dc_monocytic_gmp,EZH2 vs rest,ZEB2,-0.0745,-1.28,0.2,0.409
dc_monocytic_gmp,EZH2 vs rest,NAP1L1,-0.00603,-1.28,0.2,0.409
dc_monocytic_gmp,EZH2 vs rest,TUBA1A,0.0912,1.27,0.203,0.412
dc_monocytic_gmp,EZH2 vs rest,HNRNPA1,0.0252,1.23,0.22,0.443
dc_monocytic_gmp,EZH2 vs rest,PRRC2B,-0.0494,-1.22,0.221,0.443
dc_monocytic_gmp,EZH2 vs rest,VAMP2,-0.191,-1.22,0.224,0.445
dc_monocytic_gmp,EZH2 vs rest,QKI,0.0285,1.2,0.231,0.457
dc_monocytic_gmp,EZH2 vs rest,RPL34,-5.69e-4,-1.18,0.238,0.466
dc_monocytic_gmp,EZH2 vs rest,KLF2,-0.0293,-1.17,0.241,0.469
dc_monocytic_gmp,EZH2 vs rest,MKLN1,0.0182,1.15,0.249,0.482
dc_monocytic_gmp,EZH2 vs rest,NASP,0.0814,1.15,0.251,0.482
dc_monocytic_gmp,EZH2 vs rest,ARID4A,0.00622,1.13,0.258,0.492
dc_monocytic_gmp,EZH2 vs rest,RPS4Y1,0.156,1.11,0.265,0.503
dc_monocytic_gmp,EZH2 vs rest,AREG,0.281,1.09,0.274,0.516
dc_monocytic_gmp,EZH2 vs rest,ERG,0.137,1.08,0.283,0.529
dc_monocytic_gmp,EZH2 vs rest,NFKB1,0.125,1.07,0.285,0.53
dc_monocytic_gmp,EZH2 vs rest,PRTN3,0.0368,1.06,0.291,0.537
dc_monocytic_gmp,EZH2 vs rest,MAP3K8,-0.107,-1.03,0.304,0.557
dc_monocytic_gmp,EZH2 vs rest,UBA52,9.6e-4,1.02,0.307,0.559
dc_monocytic_gmp,EZH2 vs rest,KANSL1,0.0195,1.01,0.311,0.561
dc_monocytic_gmp,EZH2 vs rest,SFPQ,-0.0132,-1.01,0.312,0.561
dc_monocytic_gmp,EZH2 vs rest,GNB4,-0.00201,-0.998,0.319,0.57
dc_monocytic_gmp,EZH2 vs rest,SKP1,0.0388,0.984,0.325,0.578
dc_monocytic_gmp,EZH2 vs rest,ZNF644,-0.0116,-0.976,0.329,0.578
dc_monocytic_gmp,EZH2 vs rest,RAB11A,0.0313,0.976,0.329,0.578
dc_monocytic_gmp,EZH2 vs rest,MYADM,0.0892,0.964,0.335,0.581
dc_monocytic_gmp,EZH2 vs rest,ELOVL5,0.0101,0.961,0.337,0.581
dc_monocytic_gmp,EZH2 vs rest,CLINT1,-0.0104,-0.953,0.341,0.581
dc_monocytic_gmp,EZH2 vs rest,FNIP1,0.0675,0.952,0.341,0.581
dc_monocytic_gmp,EZH2 vs rest,SMIM24,-0.0185,-0.952,0.341,0.581
dc_monocytic_gmp,EZH2 vs rest,ZFR,0.0135,0.949,0.343,0.581
dc_monocytic_gmp,EZH2 vs rest,ZDHHC20,0.063,0.929,0.353,0.595
dc_monocytic_gmp,EZH2 vs rest,MDK,-0.0538,-0.909,0.364,0.607
dc_monocytic_gmp,EZH2 vs rest,MIS18BP1,-0.00197,-0.904,0.366,0.607
dc_monocytic_gmp,EZH2 vs rest,COG5,0.016,0.9,0.368,0.607
dc_monocytic_gmp,EZH2 vs rest,NSA2,-0.0341,-0.9,0.369,0.607
dc_monocytic_gmp,EZH2 vs rest,H2AFV,-0.0161,-0.894,0.372,0.608
dc_monocytic_gmp,EZH2 vs rest,FBXO34,-0.0378,-0.888,0.375,0.61
dc_monocytic_gmp,EZH2 vs rest,NSMCE2,0.0145,0.857,0.392,0.634
dc_monocytic_gmp,EZH2 vs rest,PTPRC,0.0371,0.852,0.395,0.635
dc_monocytic_gmp,EZH2 vs rest,IFIT2,-0.622,-0.844,0.399,0.639
dc_monocytic_gmp,EZH2 vs rest,JUND,0.109,0.827,0.408,0.65
dc_monocytic_gmp,EZH2 vs rest,EREG,0.0519,0.814,0.416,0.657
dc_monocytic_gmp,EZH2 vs rest,BBX,0.073,0.812,0.417,0.657
dc_monocytic_gmp,EZH2 vs rest,RPL36AL,0.0265,0.802,0.423,0.662
dc_monocytic_gmp,EZH2 vs rest,FABP5,0.0199,0.785,0.433,0.667
dc_monocytic_gmp,EZH2 vs rest,RELB,0.131,0.777,0.437,0.667
dc_monocytic_gmp,EZH2 vs rest,ELF2,0.0356,0.776,0.438,0.667
dc_monocytic_gmp,EZH2 vs rest,RHOH,0.0157,0.773,0.44,0.667
dc_monocytic_gmp,EZH2 vs rest,MARCH6,0.00148,0.771,0.441,0.667
dc_monocytic_gmp,EZH2 vs rest,RPL13,-2.95e-4,-0.771,0.441,0.667
dc_monocytic_gmp,EZH2 vs rest,MYL12B,-0.023,-0.765,0.444,0.667
dc_monocytic_gmp,EZH2 vs rest,ADK,-0.0568,-0.765,0.445,0.667
dc_monocytic_gmp,EZH2 vs rest,BTBD11,0.00673,0.755,0.451,0.672
dc_monocytic_gmp,EZH2 vs rest,PPP3R1,0.00776,0.736,0.462,0.686
dc_monocytic_gmp,EZH2 vs rest,BCLAF1,-0.00111,-0.726,0.468,0.691
dc_monocytic_gmp,EZH2 vs rest,ARPC2,-0.00348,-0.72,0.472,0.693
dc_monocytic_gmp,EZH2 vs rest,DIP2B,0.0434,0.712,0.477,0.693
dc_monocytic_gmp,EZH2 vs rest,HMGN2,0.0442,0.712,0.477,0.693
dc_monocytic_gmp,EZH2 vs rest,CD52,0.0652,0.709,0.479,0.693
dc_monocytic_gmp,EZH2 vs rest,ATP2B1,0.00588,0.692,0.489,0.704
dc_monocytic_gmp,EZH2 vs rest,MCTP2,0.00821,0.682,0.495,0.71
dc_monocytic_gmp,EZH2 vs rest,LUC7L2,-0.0194,-0.662,0.508,0.725
dc_monocytic_gmp,EZH2 vs rest,RTN4,0.0105,0.654,0.513,0.727
dc_monocytic_gmp,EZH2 vs rest,PBX3,0.0226,0.649,0.516,0.727
dc_monocytic_gmp,EZH2 vs rest,SLMAP,0.0223,0.648,0.517,0.727
dc_monocytic_gmp,EZH2 vs rest,SRSF3,-0.0244,-0.637,0.524,0.727
dc_monocytic_gmp,EZH2 vs rest,UBB,0.0172,0.637,0.524,0.727
dc_monocytic_gmp,EZH2 vs rest,WTAP,-0.0406,-0.636,0.525,0.727
dc_monocytic_gmp,EZH2 vs rest,IGLL1,0.00731,0.626,0.532,0.733
dc_monocytic_gmp,EZH2 vs rest,MECP2,0.0591,0.62,0.535,0.734
dc_monocytic_gmp,EZH2 vs rest,GRASP,0.0151,0.588,0.557,0.758
dc_monocytic_gmp,EZH2 vs rest,OAZ1,-0.00273,-0.586,0.558,0.758
dc_monocytic_gmp,EZH2 vs rest,ZNF292,-0.00914,-0.583,0.56,0.758
dc_monocytic_gmp,EZH2 vs rest,PELI1,0.0771,0.573,0.567,0.763
dc_monocytic_gmp,EZH2 vs rest,SETD2,0.00674,0.543,0.588,0.783
dc_monocytic_gmp,EZH2 vs rest,TAF1D,0.0182,0.543,0.588,0.783
dc_monocytic_gmp,EZH2 vs rest,VIM,-0.0132,-0.537,0.591,0.785
dc_monocytic_gmp,EZH2 vs rest,TTC17,0.0115,0.529,0.597,0.788
dc_monocytic_gmp,EZH2 vs rest,CHD1,-0.0418,-0.521,0.602,0.792
dc_monocytic_gmp,EZH2 vs rest,SMC5,-0.0276,-0.499,0.618,0.809
dc_monocytic_gmp,EZH2 vs rest,RSL24D1,-0.0102,-0.485,0.628,0.818
dc_monocytic_gmp,EZH2 vs rest,LGALS1,-0.0451,-0.453,0.651,0.844
dc_monocytic_gmp,EZH2 vs rest,NME2,0.0203,0.438,0.662,0.854
dc_monocytic_gmp,EZH2 vs rest,RBM25,0.0577,0.431,0.666,0.855
dc_monocytic_gmp,EZH2 vs rest,SMURF2,0.0103,0.429,0.668,0.855
dc_monocytic_gmp,EZH2 vs rest,XBP1,0.00676,0.423,0.673,0.856
dc_monocytic_gmp,EZH2 vs rest,PCBP2,-2.93e-4,-0.419,0.675,0.856
dc_monocytic_gmp,EZH2 vs rest,SENP5,0.0104,0.412,0.681,0.859
dc_monocytic_gmp,EZH2 vs rest,SYAP1,-0.0364,-0.409,0.683,0.859
dc_monocytic_gmp,EZH2 vs rest,FBXO33,0.0125,0.402,0.688,0.861
dc_monocytic_gmp,EZH2 vs rest,SP3,-0.0117,-0.389,0.698,0.865
dc_monocytic_gmp,EZH2 vs rest,SMURF1,0.0411,0.384,0.701,0.865
dc_monocytic_gmp,EZH2 vs rest,PDE7A,-0.0128,-0.383,0.702,0.865
dc_monocytic_gmp,EZH2 vs rest,PDZD8,-0.0137,-0.382,0.702,0.865
dc_monocytic_gmp,EZH2 vs rest,H1FX,-0.00681,-0.375,0.708,0.867
dc_monocytic_gmp,EZH2 vs rest,SVIL,0.00854,0.365,0.715,0.872
dc_monocytic_gmp,EZH2 vs rest,CDC42SE2,0.00839,0.343,0.732,0.883
dc_monocytic_gmp,EZH2 vs rest,ETF1,0.0235,0.342,0.732,0.883
dc_monocytic_gmp,EZH2 vs rest,TPI1,0.00443,0.34,0.734,0.883
dc_monocytic_gmp,EZH2 vs rest,LDHA,-5.37e-4,-0.333,0.739,0.883
dc_monocytic_gmp,EZH2 vs rest,CCNL1,0.00517,0.328,0.743,0.883
dc_monocytic_gmp,EZH2 vs rest,STK17B,-0.00778,-0.322,0.747,0.883
dc_monocytic_gmp,EZH2 vs rest,IP6K1,0.0162,0.322,0.748,0.883
dc_monocytic_gmp,EZH2 vs rest,UQCRB,-0.00192,-0.322,0.748,0.883
dc_monocytic_gmp,EZH2 vs rest,TCF12,0.00291,0.314,0.754,0.884
dc_monocytic_gmp,EZH2 vs rest,ZNF326,-0.00817,-0.312,0.755,0.884
dc_monocytic_gmp,EZH2 vs rest,RPL36A,0.00172,0.285,0.776,0.901
dc_monocytic_gmp,EZH2 vs rest,ZFAND6,0.011,0.284,0.777,0.901
dc_monocytic_gmp,EZH2 vs rest,PTBP2,-0.00638,-0.281,0.779,0.901
dc_monocytic_gmp,EZH2 vs rest,RNF24,-3.6e-4,-0.27,0.787,0.903
dc_monocytic_gmp,EZH2 vs rest,SCAF11,-0.00433,-0.268,0.788,0.903
dc_monocytic_gmp,EZH2 vs rest,PHTF1,0.00489,0.263,0.793,0.903
dc_monocytic_gmp,EZH2 vs rest,WAC,0.00137,0.262,0.794,0.903
dc_monocytic_gmp,EZH2 vs rest,KDM5B,-0.00151,-0.253,0.801,0.907
dc_monocytic_gmp,EZH2 vs rest,DUSP1,-0.0457,-0.248,0.804,0.907
dc_monocytic_gmp,EZH2 vs rest,HSP90AB1,0.0276,0.245,0.807,0.907
dc_monocytic_gmp,EZH2 vs rest,JUNB,-0.0282,-0.241,0.809,0.907
dc_monocytic_gmp,EZH2 vs rest,JUN,-0.0642,-0.231,0.818,0.913
dc_monocytic_gmp,EZH2 vs rest,NFKBIA,0.0293,0.222,0.824,0.914
dc_monocytic_gmp,EZH2 vs rest,RPS26,0.0322,0.221,0.825,0.914
dc_monocytic_gmp,EZH2 vs rest,RTF1,0.00192,0.195,0.845,0.933
dc_monocytic_gmp,EZH2 vs rest,FNDC3A,0.00236,0.152,0.879,0.957
dc_monocytic_gmp,EZH2 vs rest,CIRBP,0.0107,0.15,0.881,0.957
dc_monocytic_gmp,EZH2 vs rest,SKIL,0.00459,0.148,0.882,0.957
dc_monocytic_gmp,EZH2 vs rest,ARIH1,-6.32e-5,-0.145,0.885,0.957
dc_monocytic_gmp,EZH2 vs rest,SMDT1,0.00156,0.143,0.886,0.957
dc_monocytic_gmp,EZH2 vs rest,UBE2B,8.06e-4,0.142,0.888,0.957
dc_monocytic_gmp,EZH2 vs rest,KLF6,-0.0101,-0.125,0.901,0.961
dc_monocytic_gmp,EZH2 vs rest,STK4,0.00413,0.121,0.904,0.961
dc_monocytic_gmp,EZH2 vs rest,CCNI,-0.0047,-0.12,0.905,0.961
dc_monocytic_gmp,EZH2 vs rest,KAT6B,-5.58e-5,-0.118,0.906,0.961
dc_monocytic_gmp,EZH2 vs rest,PPP1R12A,-1.5e-4,-0.117,0.907,0.961
dc_monocytic_gmp,EZH2 vs rest,GNPTAB,-0.0121,-0.112,0.911,0.961
dc_monocytic_gmp,EZH2 vs rest,ANKRD12,-0.00218,-0.103,0.918,0.962
dc_monocytic_gmp,EZH2 vs rest,JARID2,0.00951,0.102,0.919,0.962
dc_monocytic_gmp,EZH2 vs rest,RANBP9,-1.72e-4,-0.0755,0.94,0.981
dc_monocytic_gmp,EZH2 vs rest,BRAF,-0.003,-0.0655,0.948,0.982
dc_monocytic_gmp,EZH2 vs rest,MYO9B,-0.00171,-0.0641,0.949,0.982
dc_monocytic_gmp,EZH2 vs rest,GNAS,0.00146,0.0611,0.951,0.982
dc_monocytic_gmp,EZH2 vs rest,NKTR,-4.76e-5,-0.0545,0.957,0.984
dc_monocytic_gmp,EZH2 vs rest,DDAH2,5.11e-4,0.0347,0.972,0.989
dc_monocytic_gmp,EZH2 vs rest,RPS11,-1.09e-4,-0.0343,0.973,0.989
dc_monocytic_gmp,EZH2 vs rest,CRY1,-1.48e-5,-0.033,0.974,0.989
dc_monocytic_gmp,EZH2 vs rest,SECISBP2,-0.00225,-0.0307,0.976,0.989
dc_monocytic_gmp,EZH2 vs rest,SRRM1,9.58e-4,0.019,0.985,0.995
dc_monocytic_gmp,EZH2 vs rest,TPT1,-4.05e-5,-0.0135,0.989,0.996
dc_monocytic_gmp,EZH2 vs rest,PPP6C,6.54e-5,0.0066,0.995,0.998
dc_monocytic_gmp,EZH2 vs rest,ARID4B,-9.44e-5,-0.0018600000000000001,0.999,0.999
dc_monocytic_gmp,TET2-bi vs rest,WDFY2,0.26,9.2,4.54e-19,1.31e-16
dc_monocytic_gmp,TET2-bi vs rest,APLP2,0.238,7.79,2.54e-14,3.65e-12
dc_monocytic_gmp,TET2-bi vs rest,SECISBP2,0.22,6.85,1.64e-11,1.58e-9
dc_monocytic_gmp,TET2-bi vs rest,CST3,0.264,6.57,9.84e-11,7.08e-9
dc_monocytic_gmp,TET2-bi vs rest,LGALS1,0.273,6.21,9.3e-10,5.36e-8
dc_monocytic_gmp,TET2-bi vs rest,VIM,0.063,5.8,1.02e-8,4.87e-7
dc_monocytic_gmp,TET2-bi vs rest,ELANE,0.0915,5.56,3.81e-8,1.57e-6
dc_monocytic_gmp,TET2-bi vs rest,EREG,0.154,5.45,6.95e-8,2.5e-6
dc_monocytic_gmp,TET2-bi vs rest,CLEC11A,0.347,5.43,7.94e-8,2.54e-6
dc_monocytic_gmp,TET2-bi vs rest,ASXL1,0.248,5.4,9.02e-8,2.6e-6
dc_monocytic_gmp,TET2-bi vs rest,FNDC3B,0.0685,5.34,1.26e-7,3.3e-6
dc_monocytic_gmp,TET2-bi vs rest,AIF1,0.14,5.17,3.17e-7,7.6e-6
dc_monocytic_gmp,TET2-bi vs rest,ARL6IP1,0.0551,5.08,4.86e-7,1.08e-5
